title, link, level, finished_count, acceptance_rate
연속된 수의 합,https://school.programmers.co.kr/learn/courses/30/lessons/120923,Lv.0,8,816명,58%
종이 자르기,https://school.programmers.co.kr/learn/courses/30/lessons/120922,Lv.0,10,224명,74%
문자열 밀기,https://school.programmers.co.kr/learn/courses/30/lessons/120921,Lv.0,7,938명,70%
잘라서 배열로 저장하기,https://school.programmers.co.kr/learn/courses/30/lessons/120913,Lv.0,9,293명,79%
7의 개수,https://school.programmers.co.kr/learn/courses/30/lessons/120912,Lv.0,10,965명,80%
문자열 정렬하기 (2),https://school.programmers.co.kr/learn/courses/30/lessons/120911,Lv.0,11,660명,85%
세균 증식,https://school.programmers.co.kr/learn/courses/30/lessons/120910,Lv.0,15,298명,88%
제곱수 판별하기,https://school.programmers.co.kr/learn/courses/30/lessons/120909,Lv.0,14,541명,89%
문자열안에 문자열,https://school.programmers.co.kr/learn/courses/30/lessons/120908,Lv.0,15,041명,89%
OX퀴즈,https://school.programmers.co.kr/learn/courses/30/lessons/120907,Lv.0,7,823명,63%
자릿수 더하기,https://school.programmers.co.kr/learn/courses/30/lessons/120906,Lv.0,15,911명,89%
n의 배수 고르기,https://school.programmers.co.kr/learn/courses/30/lessons/120905,Lv.0,13,169명,88%
숫자 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/120904,Lv.0,11,197명,86%
배열의 유사도,https://school.programmers.co.kr/learn/courses/30/lessons/120903,Lv.0,15,129명,89%
문자열 계산하기,https://school.programmers.co.kr/learn/courses/30/lessons/120902,Lv.0,8,120명,79%
가장 큰 수 찾기,https://school.programmers.co.kr/learn/courses/30/lessons/120899,Lv.0,12,738명,87%
편지,https://school.programmers.co.kr/learn/courses/30/lessons/120898,Lv.0,17,813명,89%
약수 구하기,https://school.programmers.co.kr/learn/courses/30/lessons/120897,Lv.0,11,896명,86%
한 번만 등장한 문자,https://school.programmers.co.kr/learn/courses/30/lessons/120896,Lv.0,8,701명,82%
